i,top_vasculature_percent,bottom_vasculature_percent
199,4.4647216796875,8.50982666015625
200,5.5450439453125,8.502197265625
201,3.302001953125,2.17742919921875
202,4.656982421875,11.33270263671875
203,3.91998291015625,14.093017578125
204,3.27301025390625,1.1138916015625
205,4.38385009765625,8.7249755859375
206,2.703857421875,14.6728515625
207,2.99224853515625,0.60577392578125
208,0.89569091796875,5.133056640625
209,1.18865966796875,6.34002685546875
210,0.74310302734375,1.56402587890625
211,1.31683349609375,5.3466796875
212,1.8890380859375,6.79168701171875
213,0.81329345703125,2.25677490234375
214,1.33209228515625,4.74090576171875
215,1.4923095703125,5.96160888671875
216,2.142333984375,5.65032958984375
217,2.83355712890625,5.22308349609375
218,3.8726806640625,4.376220703125
219,4.38690185546875,0.44708251953125
220,5.11322021484375,2.74658203125
221,6.1309814453125,3.84521484375
222,5.25665283203125,10.8642578125
223,4.33502197265625,3.34625244140625
224,4.8492431640625,5.6976318359375
225,5.01708984375,1.226806640625
226,8.001708984375,1.76239013671875
227,7.1563720703125,1.93939208984375
228,9.55963134765625,33.538818359375
229,9.47265625,31.8328857421875
230,10.1318359375,32.6416015625
231,12.872314453125,35.089111328125
232,9.99908447265625,31.1431884765625
233,10.57586669921875,31.787109375
234,3.619384765625,1.806640625
235,2.93426513671875,8.15277099609375
236,3.13873291015625,9.55657958984375
237,10.64605712890625,30.0750732421875
238,5.3314208984375,3.37677001953125
239,4.461669921875,7.2509765625
240,12.54425048828125,30.18035888671875
241,6.561279296875,2.86712646484375
242,5.87615966796875,6.2255859375
243,4.815673828125,1.65557861328125
244,4.92401123046875,3.00750732421875
245,5.50079345703125,2.655029296875
246,4.64935302734375,1.42822265625
247,3.192138671875,3.1585693359375
248,4.11376953125,11.5264892578125
249,4.608154296875,0.5615234375
250,4.8004150390625,11.639404296875
251,6.3873291015625,13.0279541015625
252,1.04522705078125,8.24737548828125
253,0.5645751953125,4.6783447265625
254,0.390625,3.51409912109375
255,1.702880859375,6.09893798828125
256,1.62506103515625,8.66546630859375
257,1.84173583984375,7.8155517578125
258,3.13568115234375,7.01446533203125
259,2.3895263671875,7.7911376953125
260,2.47039794921875,6.67877197265625
261,2.691650390625,6.6131591796875
262,7.2967529296875,0.85296630859375
263,2.70233154296875,0.63934326171875
264,2.2247314453125,4.53338623046875
265,3.31573486328125,6.3812255859375
266,3.369140625,5.1910400390625
267,3.387451171875,1.18560791015625
268,4.55474853515625,5.07049560546875
269,4.0313720703125,3.7750244140625
270,1.361083984375,6.17218017578125
271,1.2542724609375,7.55462646484375
272,1.9256591796875,8.00018310546875
273,4.17938232421875,5.81512451171875
274,2.60772705078125,6.2225341796875
275,3.08837890625,7.11517333984375
276,3.20892333984375,3.6590576171875
277,3.9093017578125,7.38525390625
278,4.25872802734375,8.355712890625
279,4.12445068359375,3.08837890625
280,1.26495361328125,0.506591796875
281,19.622802734375,18.14422607421875
282,20.98541259765625,13.55743408203125
283,18.44940185546875,11.16180419921875
284,12.8143310546875,19.036865234375
285,11.50665283203125,20.2911376953125
286,11.895751953125,18.023681640625
287,2.35595703125,0.30059814453125
288,4.0069580078125,3.47900390625
289,3.53851318359375,5.31158447265625
290,4.07562255859375,5.743408203125
291,1.7913818359375,1.41448974609375
292,4.4952392578125,2.86407470703125
293,2.032470703125,1.7822265625
294,2.25067138671875,5.426025390625
295,2.72979736328125,7.9803466796875
296,1.47857666015625,1.78375244140625
297,2.2705078125,3.485107421875
298,2.5421142578125,4.486083984375
299,4.02374267578125,2.76336669921875
