file,method,z_min,z_max,n_z_slices_used,time_sec,Z,downscale,error
Farid_18_07_25_img3,SKIPPED,,,,0.0,,4,
Farid_18_07_25_img4,SKIPPED,,,,0.0,,4,
Farid_18_07_25_img5,SKIPPED,,,,0.0,,4,
Farid_18_07_25_img6,SKIPPED,,,,0.0,,4,
Farid_18_07_25_img7,SKIPPED,,,,0.0,,4,
Farid_18_07_25_img8,SKIPPED,,,,0.0,,4,
Farid_18_07_25_img9,SKIPPED,,,,0.0,,4,
Farid_18_07_25_img10,SKIPPED,,,,0.0,,4,
Farid_18_07_25_img11,SKIPPED,,,,0.0,,4,
Farid_18_07_25_img12,SKIPPED,,,,0.0,,4,
Farid_18_07_25_img13,SKIPPED,,,,0.0,,4,
Farid_25_07_25_img0,SKIPPED,,,,0.0,,4,
Farid_25_07_25_img1,SKIPPED,,,,0.0,,4,
Farid_25_07_25_img2,SKIPPED,,,,0.0,,4,
Farid_25_07_25_img3,SKIPPED,,,,0.0,,4,
Farid_25_07_25_img4,SKIPPED,,,,0.0,,4,
Farid_25_07_25_img5,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img0,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img1,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img2,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img3,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img4,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img5,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img6,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img7,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img8,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img9,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img10,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img11,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img12,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img13,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img14,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img15,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img16,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img17,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img18,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img19,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img20,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img21,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img22,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img23,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img24,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img25,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img26,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img27,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img28,SKIPPED,,,,0.0,,4,
marina_M4_2024.10.24_FL2_FL6_img29,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img0,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img1,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img2,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img3,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img4,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img5,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img6,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img7,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img8,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img9,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img10,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img11,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img12,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img13,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img14,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img15,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img16,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img17,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img18,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img19,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img20,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img21,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img22,SKIPPED,,,,0.0,,4,
marina_M4_2024.11.14_MCL1_MCL3_img23,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img0,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img1,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img2,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img3,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img4,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img5,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img6,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img7,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img8,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img9,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img10,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img11,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img12,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img13,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img14,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img15,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img16,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img17,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img18,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img19,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img20,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img21,SKIPPED,,,,0.0,,4,
marina_M4_2024.12.04_FL4_FL12_img22,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img0,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img1,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img2,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img3,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img4,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img5,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img6,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img7,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img8,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img9,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img10,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img11,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img12,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img13,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img14,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img15,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img16,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img17,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img18,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img19,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img20,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img21,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img22,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.05_MCL2_MCL4_img23,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img0,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img1,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img2,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img3,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img4,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img5,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img6,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img7,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img8,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img9,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img10,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img11,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img12,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img13,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img14,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img15,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img16,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img17,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img18,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img19,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img20,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img21,SKIPPED,,,,0.0,,4,
marina_M4_2025.02.28_FL32_FL33_img22,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img0,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img1,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img2,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img3,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img4,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img5,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img6,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img7,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img8,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img9,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img10,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img11,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img12,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img13,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img14,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img15,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img16,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img17,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img18,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img19,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img20,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img21,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img22,SKIPPED,,,,0.0,,4,
marina_M4_2025.03.23_MCL7_MCL8_img23,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img0,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img1,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img2,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img3,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img4,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img5,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img6,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img7,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img8,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img9,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img10,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img11,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img12,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img13,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img14,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img15,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img16,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img17,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img18,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img19,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img20,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img21,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img22,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img23,SKIPPED,,,,0.0,,4,
marina_M4_2025.06.27_FL41_FL43_img24,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img0,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img1,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img2,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img3,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img4,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img5,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img6,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img7,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img8,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img9,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img10,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img11,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img12,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img13,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img14,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img15,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img16,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img17,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img18,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.06_FL33_img19,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.22_FL12_img0,SKIPPED,,,,0.0,,4,
marina_M7_2025.10.22_FL12_img1,SKIPPED,,,,0.0,,4,
